model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
topformer_tiny_distilled,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
topformer_tiny_distilled,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
topformer_tiny_distilled,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
topformer_tiny_distilled,D1_D4,Light (II-III),zero_dice_rate,23,7,0.043478260869565216,5185.0,0.0,0.25
topformer_tiny_distilled,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
topformer_tiny_distilled,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
topformer_tiny_distilled,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
topformer_tiny_distilled,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
topformer_tiny_distilled,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
topformer_tiny_distilled,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
topformer_tiny_distilled,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
topformer_tiny_distilled,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
topformer_tiny_distilled,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
topformer_tiny_rgkd,all,Light (II-III),zero_dice_rate,39,9,0.02564102564102564,8085.0,0.0,0.125
topformer_tiny_rgkd,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
topformer_tiny_rgkd,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
topformer_tiny_rgkd,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
topformer_tiny_rgkd,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
topformer_tiny_rgkd,D1_D4,Light (II-III),zero_dice_rate,23,7,0.043478260869565216,5185.0,0.0,0.25
topformer_tiny_rgkd,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
topformer_tiny_rgkd,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
topformer_tiny_rgkd,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
topformer_tiny_rgkd,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
topformer_tiny_rgkd,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
topformer_tiny_rgkd,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
topformer_tiny_rgkd,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
topformer_tiny_rgkd,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
topformer_tiny_rgkd,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
