model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
fastscnn_distilled,D1,7,19,4,2,2,0.21052631578947367,0.10526315789473684,0.10526315789473684
fastscnn_rgkd,D7,11,18,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D4,13,18,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D9,10,18,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D6,13,18,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D10,10,19,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D5,12,19,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D3,9,19,2,0,2,0.10526315789473684,0.0,0.10526315789473684
fastscnn_rgkd,D2,8,18,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D8,8,19,0,0,0,0.0,0.0,0.0
fastscnn_rgkd,D1,7,19,4,1,3,0.21052631578947367,0.05263157894736842,0.15789473684210525
lraspp_mobilenetv3_rgkd,D7,11,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
lraspp_mobilenetv3_rgkd,D9,10,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D6,13,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D10,10,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D5,12,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D3,9,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D2,8,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D8,8,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
ppmobileseg_tiny_distilled,D7,11,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
ppmobileseg_tiny_distilled,D9,10,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,D6,13,18,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,D10,10,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,D5,12,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,D3,9,19,2,2,0,0.10526315789473684,0.10526315789473684,0.0
ppmobileseg_tiny_distilled,D2,8,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
ppmobileseg_tiny_distilled,D8,8,19,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,D1,7,19,0,0,0,0.0,0.0,0.0
